application_id: 6	name: MCS_distance_10_frames_10_numberofspots_1000_sigmamean_10.0_sigmastd_3.33333333333_sample-heterogeneity_2.0_0.txt	filepath: /Volumes/sniekamp/TIRF-Data/20170123_Nanoruler/20170123_40nm_20x20beads_1	nr_pixels_x: 512	nr_pixels_y: 512	pixel_size: 159.0	nr_spots: 1046	box_size: 12	nr_channels: 2	nr_frames: 10	nr_slices: 1	nr_pos: 400	location_units: NM	intensity_units: PHOTONS	fit_mode: 1	is_track: false	has_Z: false
molecule	frame	slice	channel	pos	x_position	y_position	x	y	intensity	background	width	a	theta	sigma	intensity_aperture	background_aperture	intensity_ratio	m_sigma	integral_aperture_sigma
47	1	1	1	47	1	1	12486.5364192	12496.7261131	1	1	1	1	1	12.3304846212	1	1	1	12.3304846212	12.3304846212
48	1	1	1	48	1	1	12502.8149532	12501.470766	1	1	1	1	1	7.57228636854	1	1	1	7.57228636854	7.57228636854
49	1	1	1	49	1	1	12496.516436	12484.9349395	1	1	1	1	1	8.22353241857	1	1	1	8.22353241857	8.22353241857
50	1	1	1	50	1	1	12495.1553713	12494.2935355	1	1	1	1	1	10.0906555315	1	1	1	10.0906555315	10.0906555315
51	1	1	1	51	1	1	12499.1117038	12502.3699895	1	1	1	1	1	4.79693721529	1	1	1	4.79693721529	4.79693721529
52	1	1	1	52	1	1	12508.3189637	12499.3469302	1	1	1	1	1	7.8230872857	1	1	1	7.8230872857	7.8230872857
53	1	1	1	53	1	1	12495.6611304	12494.8700148	1	1	1	1	1	9.04060396238	1	1	1	9.04060396238	9.04060396238
54	1	1	1	54	1	1	12516.387629	12495.4120794	1	1	1	1	1	11.7591922976	1	1	1	11.7591922976	11.7591922976
55	1	1	1	55	1	1	12499.3866295	12492.0130574	1	1	1	1	1	6.41155295638	1	1	1	6.41155295638	6.41155295638
56	1	1	1	56	1	1	12507.0876374	12492.7501111	1	1	1	1	1	6.36955525013	1	1	1	6.36955525013	6.36955525013
57	1	1	1	57	1	1	12494.5121391	12496.9637332	1	1	1	1	1	11.9640070139	1	1	1	11.9640070139	11.9640070139
58	1	1	1	58	1	1	12493.7616154	12487.9022162	1	1	1	1	1	9.01625548827	1	1	1	9.01625548827	9.01625548827
59	1	1	1	59	1	1	12503.6473395	12496.8936001	1	1	1	1	1	4.22326641711	1	1	1	4.22326641711	4.22326641711
60	1	1	1	60	1	1	12499.4628825	12505.7159032	1	1	1	1	1	8.42154300203	1	1	1	8.42154300203	8.42154300203
61	1	1	1	61	1	1	12494.6577744	12512.5023692	1	1	1	1	1	10.18738382	1	1	1	10.18738382	10.18738382
62	1	1	1	62	1	1	12506.5488302	12515.9326274	1	1	1	1	1	11.8084894151	1	1	1	11.8084894151	11.8084894151
63	1	1	1	63	1	1	12503.8000673	12505.0009689	1	1	1	1	1	13.7096356833	1	1	1	13.7096356833	13.7096356833
64	1	1	1	64	1	1	12513.5188097	12478.3913648	1	1	1	1	1	17.2089758535	1	1	1	17.2089758535	17.2089758535
65	1	1	1	65	1	1	12510.9446135	12495.1723578	1	1	1	1	1	6.776729082	1	1	1	6.776729082	6.776729082
66	1	1	1	66	1	1	12506.3649982	12495.8975589	1	1	1	1	1	15.2931932726	1	1	1	15.2931932726	15.2931932726
67	1	1	1	67	1	1	12498.2815171	12502.9263349	1	1	1	1	1	7.49231130263	1	1	1	7.49231130263	7.49231130263
68	1	1	1	68	1	1	12506.5447954	12506.3608714	1	1	1	1	1	11.1321067564	1	1	1	11.1321067564	11.1321067564
69	1	1	1	69	1	1	12508.3470923	12489.3485806	1	1	1	1	1	6.91380593566	1	1	1	6.91380593566	6.91380593566
70	1	1	1	70	1	1	12497.6612773	12507.2652615	1	1	1	1	1	7.9355427507	1	1	1	7.9355427507	7.9355427507
71	1	1	1	71	1	1	12509.4425125	12508.4315425	1	1	1	1	1	11.7842927459	1	1	1	11.7842927459	11.7842927459
72	1	1	1	72	1	1	12495.0226197	12502.1713533	1	1	1	1	1	4.38155047366	1	1	1	4.38155047366	4.38155047366
73	1	1	1	73	1	1	12496.9271278	12502.1273804	1	1	1	1	1	7.71628250656	1	1	1	7.71628250656	7.71628250656
74	1	1	1	74	1	1	12497.6257193	12493.7230583	1	1	1	1	1	6.50900898003	1	1	1	6.50900898003	6.50900898003
75	1	1	1	75	1	1	12497.7365202	12514.2901826	1	1	1	1	1	12.0922835271	1	1	1	12.0922835271	12.0922835271
76	1	1	1	76	1	1	12492.3131289	12503.4178703	1	1	1	1	1	17.8541467051	1	1	1	17.8541467051	17.8541467051
77	1	1	1	77	1	1	12527.518176	12503.5196071	1	1	1	1	1	17.5878098287	1	1	1	17.5878098287	17.5878098287
78	1	1	1	78	1	1	12502.2417925	12487.0651083	1	1	1	1	1	7.65442278653	1	1	1	7.65442278653	7.65442278653
79	1	1	1	79	1	1	12511.9129837	12509.4124227	1	1	1	1	1	10.1531902941	1	1	1	10.1531902941	10.1531902941
80	1	1	1	80	1	1	12514.3325177	12495.0363539	1	1	1	1	1	9.99349050231	1	1	1	9.99349050231	9.99349050231
81	1	1	1	81	1	1	12507.2586224	12496.435967	1	1	1	1	1	9.38162323038	1	1	1	9.38162323038	9.38162323038
82	1	1	1	82	1	1	12499.0747827	12509.1892903	1	1	1	1	1	10.0168041115	1	1	1	10.0168041115	10.0168041115
83	1	1	1	83	1	1	12508.5141203	12507.5741103	1	1	1	1	1	11.5302250757	1	1	1	11.5302250757	11.5302250757
84	1	1	1	84	1	1	12483.5623829	12514.8185716	1	1	1	1	1	12.5902624119	1	1	1	12.5902624119	12.5902624119
85	1	1	1	85	1	1	12499.9341411	12491.4921933	1	1	1	1	1	7.3662782781	1	1	1	7.3662782781	7.3662782781
86	1	1	1	86	1	1	12482.5868144	12468.8779128	1	1	1	1	1	18.340022024	1	1	1	18.340022024	18.340022024
87	1	1	1	87	1	1	12503.5883067	12494.9813699	1	1	1	1	1	8.73024542739	1	1	1	8.73024542739	8.73024542739
88	1	1	1	88	1	1	12491.6739735	12497.5300029	1	1	1	1	1	9.32211867332	1	1	1	9.32211867332	9.32211867332
89	1	1	1	89	1	1	12507.819153	12512.7342325	1	1	1	1	1	18.3601432686	1	1	1	18.3601432686	18.3601432686
90	1	1	1	90	1	1	12499.6733534	12494.7137434	1	1	1	1	1	4.81822709668	1	1	1	4.81822709668	4.81822709668
91	1	1	1	91	1	1	12490.6722188	12499.1294248	1	1	1	1	1	10.8304886959	1	1	1	10.8304886959	10.8304886959
92	1	1	1	92	1	1	12510.0892371	12496.7703481	1	1	1	1	1	8.77078430979	1	1	1	8.77078430979	8.77078430979
93	1	1	1	93	1	1	12500.7260995	12494.6455576	1	1	1	1	1	8.03889350456	1	1	1	8.03889350456	8.03889350456
94	1	1	1	94	1	1	12497.0529912	12510.0743853	1	1	1	1	1	6.5844514932	1	1	1	6.5844514932	6.5844514932
95	1	1	1	95	1	1	12512.8121819	12506.8558439	1	1	1	1	1	14.1188915193	1	1	1	14.1188915193	14.1188915193
96	1	1	1	96	1	1	12506.9264979	12482.8516711	1	1	1	1	1	10.1677768746	1	1	1	10.1677768746	10.1677768746
97	1	1	1	97	1	1	12501.0034154	12507.8783593	1	1	1	1	1	11.517304895	1	1	1	11.517304895	11.517304895
98	1	1	1	98	1	1	12489.8063655	12488.6749291	1	1	1	1	1	10.5886795987	1	1	1	10.5886795987	10.5886795987
99	1	1	1	99	1	1	12487.7561484	12496.771896	1	1	1	1	1	15.7679001112	1	1	1	15.7679001112	15.7679001112
100	1	1	1	100	1	1	12501.1022764	12499.4196229	1	1	1	1	1	5.31336836942	1	1	1	5.31336836942	5.31336836942
101	1	1	1	101	1	1	12505.2344377	12500.2048672	1	1	1	1	1	4.8269911211	1	1	1	4.8269911211	4.8269911211
102	1	1	1	102	1	1	12504.5444613	12501.9434696	1	1	1	1	1	6.9079181536	1	1	1	6.9079181536	6.9079181536
103	1	1	1	103	1	1	12524.5951886	12506.0960889	1	1	1	1	1	11.1357577837	1	1	1	11.1357577837	11.1357577837
104	1	1	1	104	1	1	12506.651286	12503.5042767	1	1	1	1	1	6.43099040487	1	1	1	6.43099040487	6.43099040487
105	1	1	1	105	1	1	12492.4464197	12489.4891718	1	1	1	1	1	6.76774513558	1	1	1	6.76774513558	6.76774513558
106	1	1	1	106	1	1	12505.4816596	12493.0288965	1	1	1	1	1	20.811690685	1	1	1	20.811690685	20.811690685
107	1	1	1	107	1	1	12495.991547	12494.4971845	1	1	1	1	1	13.5722390408	1	1	1	13.5722390408	13.5722390408
108	1	1	1	108	1	1	12512.8113831	12504.2209639	1	1	1	1	1	7.59181723872	1	1	1	7.59181723872	7.59181723872
109	1	1	1	109	1	1	12506.6695106	12498.2319706	1	1	1	1	1	5.95173260018	1	1	1	5.95173260018	5.95173260018
110	1	1	1	110	1	1	12505.1672712	12516.9348228	1	1	1	1	1	9.59096494678	1	1	1	9.59096494678	9.59096494678
111	1	1	1	111	1	1	12500.3346127	12504.3186094	1	1	1	1	1	5.57386346859	1	1	1	5.57386346859	5.57386346859
112	1	1	1	112	1	1	12510.3003036	12493.1352584	1	1	1	1	1	9.63744240585	1	1	1	9.63744240585	9.63744240585
113	1	1	1	113	1	1	12518.9478699	12500.9889016	1	1	1	1	1	8.71889040299	1	1	1	8.71889040299	8.71889040299
114	1	1	1	114	1	1	12511.8176095	12500.4055734	1	1	1	1	1	10.259594134	1	1	1	10.259594134	10.259594134
115	1	1	1	115	1	1	12501.5747149	12505.1485396	1	1	1	1	1	6.95154931408	1	1	1	6.95154931408	6.95154931408
116	1	1	1	116	1	1	12493.7460085	12523.2718704	1	1	1	1	1	11.0699704551	1	1	1	11.0699704551	11.0699704551
117	1	1	1	117	1	1	12500.0501763	12514.2913248	1	1	1	1	1	8.733415866	1	1	1	8.733415866	8.733415866
118	1	1	1	118	1	1	12505.853929	12512.7333118	1	1	1	1	1	11.5202709646	1	1	1	11.5202709646	11.5202709646
119	1	1	1	119	1	1	12512.1297751	12504.8689477	1	1	1	1	1	9.31775476704	1	1	1	9.31775476704	9.31775476704
120	1	1	1	120	1	1	12509.622276	12500.4076034	1	1	1	1	1	11.5274238115	1	1	1	11.5274238115	11.5274238115
121	1	1	1	121	1	1	12502.9490206	12510.6672509	1	1	1	1	1	9.01461771439	1	1	1	9.01461771439	9.01461771439
122	1	1	1	122	1	1	12491.8589317	12492.3205865	1	1	1	1	1	6.72732810114	1	1	1	6.72732810114	6.72732810114
123	1	1	1	123	1	1	12496.948086	12489.5335768	1	1	1	1	1	12.7239861626	1	1	1	12.7239861626	12.7239861626
124	1	1	1	124	1	1	12491.8072602	12520.5849196	1	1	1	1	1	14.4976557493	1	1	1	14.4976557493	14.4976557493
125	1	1	1	125	1	1	12494.5871651	12494.6997294	1	1	1	1	1	12.6691358046	1	1	1	12.6691358046	12.6691358046
126	1	1	1	126	1	1	12520.8680226	12511.1824829	1	1	1	1	1	10.3277973453	1	1	1	10.3277973453	10.3277973453
127	1	1	1	127	1	1	12501.9771382	12528.5911088	1	1	1	1	1	13.2249010356	1	1	1	13.2249010356	13.2249010356
128	1	1	1	128	1	1	12491.5969054	12494.2230409	1	1	1	1	1	7.31532866106	1	1	1	7.31532866106	7.31532866106
129	1	1	1	129	1	1	12490.6566849	12498.1646757	1	1	1	1	1	8.26005707059	1	1	1	8.26005707059	8.26005707059
130	1	1	1	130	1	1	12492.7784744	12502.6660478	1	1	1	1	1	8.44493406972	1	1	1	8.44493406972	8.44493406972
131	1	1	1	131	1	1	12493.8580761	12495.9035957	1	1	1	1	1	8.17265578496	1	1	1	8.17265578496	8.17265578496
132	1	1	1	132	1	1	12499.1141595	12500.0406391	1	1	1	1	1	6.90298607308	1	1	1	6.90298607308	6.90298607308
133	1	1	1	133	1	1	12499.7963951	12493.4517457	1	1	1	1	1	13.3796432914	1	1	1	13.3796432914	13.3796432914
134	1	1	1	134	1	1	12507.1803188	12495.4840643	1	1	1	1	1	4.41172950086	1	1	1	4.41172950086	4.41172950086
135	1	1	1	135	1	1	12480.378866	12497.30028	1	1	1	1	1	14.876981389	1	1	1	14.876981389	14.876981389
136	1	1	1	136	1	1	12517.4346314	12502.4552817	1	1	1	1	1	9.38382916716	1	1	1	9.38382916716	9.38382916716
137	1	1	1	137	1	1	12496.5757067	12499.8480478	1	1	1	1	1	12.2042876147	1	1	1	12.2042876147	12.2042876147
138	1	1	1	138	1	1	12499.3697093	12500.338976	1	1	1	1	1	9.38525146835	1	1	1	9.38525146835	9.38525146835
139	1	1	1	139	1	1	12497.8141598	12525.1614349	1	1	1	1	1	9.56001434587	1	1	1	9.56001434587	9.56001434587
140	1	1	1	140	1	1	12507.3262655	12494.2636558	1	1	1	1	1	13.289533175	1	1	1	13.289533175	13.289533175
141	1	1	1	141	1	1	12504.0800427	12499.1868421	1	1	1	1	1	12.5936819883	1	1	1	12.5936819883	12.5936819883
142	1	1	1	142	1	1	12482.4974647	12481.8903869	1	1	1	1	1	13.2680901562	1	1	1	13.2680901562	13.2680901562
143	1	1	1	143	1	1	12497.0746749	12491.1244231	1	1	1	1	1	11.5795672236	1	1	1	11.5795672236	11.5795672236
144	1	1	1	144	1	1	12508.1134924	12519.8189441	1	1	1	1	1	11.7759705251	1	1	1	11.7759705251	11.7759705251
145	1	1	1	145	1	1	12500.800418	12502.7319535	1	1	1	1	1	6.99995493284	1	1	1	6.99995493284	6.99995493284
146	1	1	1	146	1	1	12507.9228886	12494.2032649	1	1	1	1	1	9.80058522712	1	1	1	9.80058522712	9.80058522712
147	1	1	1	147	1	1	12489.8841135	12502.7543055	1	1	1	1	1	9.42799024751	1	1	1	9.42799024751	9.42799024751
148	1	1	1	148	1	1	12514.6406845	12491.7585055	1	1	1	1	1	9.79462389435	1	1	1	9.79462389435	9.79462389435
149	1	1	1	149	1	1	12486.5127398	12492.0051719	1	1	1	1	1	14.9227635117	1	1	1	14.9227635117	14.9227635117
150	1	1	1	150	1	1	12491.0987296	12494.1711188	1	1	1	1	1	9.75029787391	1	1	1	9.75029787391	9.75029787391
151	1	1	1	151	1	1	12517.9337294	12494.8747416	1	1	1	1	1	8.64622963136	1	1	1	8.64622963136	8.64622963136
152	1	1	1	152	1	1	12507.3742394	12496.3121063	1	1	1	1	1	12.0540330178	1	1	1	12.0540330178	12.0540330178
153	1	1	1	153	1	1	12479.2856119	12493.5051443	1	1	1	1	1	10.7876869039	1	1	1	10.7876869039	10.7876869039
154	1	1	1	154	1	1	12499.4732593	12502.231208	1	1	1	1	1	8.08737692044	1	1	1	8.08737692044	8.08737692044
155	1	1	1	155	1	1	12507.4641395	12507.2499595	1	1	1	1	1	5.04020744758	1	1	1	5.04020744758	5.04020744758
156	1	1	1	156	1	1	12502.5749482	12509.7201956	1	1	1	1	1	4.05321767771	1	1	1	4.05321767771	4.05321767771
157	1	1	1	157	1	1	12498.8454697	12510.3279192	1	1	1	1	1	7.10548484268	1	1	1	7.10548484268	7.10548484268
158	1	1	1	158	1	1	12496.7016396	12504.0995023	1	1	1	1	1	9.71735093989	1	1	1	9.71735093989	9.71735093989
159	1	1	1	159	1	1	12486.0609808	12492.9892383	1	1	1	1	1	6.61598786638	1	1	1	6.61598786638	6.61598786638
160	1	1	1	160	1	1	12486.226994	12522.629441	1	1	1	1	1	10.3931144976	1	1	1	10.3931144976	10.3931144976
161	1	1	1	161	1	1	12518.7401024	12505.1708274	1	1	1	1	1	13.6855604055	1	1	1	13.6855604055	13.6855604055
162	1	1	1	162	1	1	12494.3197565	12497.7194435	1	1	1	1	1	11.9597235282	1	1	1	11.9597235282	11.9597235282
163	1	1	1	163	1	1	12490.91175	12487.74048	1	1	1	1	1	14.8491219636	1	1	1	14.8491219636	14.8491219636
164	1	1	1	164	1	1	12490.6304986	12500.7399026	1	1	1	1	1	8.08089766221	1	1	1	8.08089766221	8.08089766221
165	1	1	1	165	1	1	12489.8627101	12527.8808255	1	1	1	1	1	10.5437436861	1	1	1	10.5437436861	10.5437436861
166	1	1	1	166	1	1	12507.4546283	12504.2399562	1	1	1	1	1	7.26144377915	1	1	1	7.26144377915	7.26144377915
167	1	1	1	167	1	1	12484.3768952	12474.8042684	1	1	1	1	1	19.402454741	1	1	1	19.402454741	19.402454741
168	1	1	1	168	1	1	12489.9666783	12497.276643	1	1	1	1	1	11.4406238402	1	1	1	11.4406238402	11.4406238402
169	1	1	1	169	1	1	12498.7612877	12492.1852999	1	1	1	1	1	8.3431222002	1	1	1	8.3431222002	8.3431222002
170	1	1	1	170	1	1	12502.119599	12499.6813748	1	1	1	1	1	7.73072381473	1	1	1	7.73072381473	7.73072381473
171	1	1	1	171	1	1	12495.9618508	12502.9577937	1	1	1	1	1	9.94049572684	1	1	1	9.94049572684	9.94049572684
172	1	1	1	172	1	1	12499.5622654	12512.3244471	1	1	1	1	1	8.42724822157	1	1	1	8.42724822157	8.42724822157
173	1	1	1	173	1	1	12494.9273783	12506.6648668	1	1	1	1	1	8.71989203297	1	1	1	8.71989203297	8.71989203297
174	1	1	1	174	1	1	12493.8498981	12487.9895728	1	1	1	1	1	13.1904884784	1	1	1	13.1904884784	13.1904884784
175	1	1	1	175	1	1	12510.4035089	12504.2520706	1	1	1	1	1	17.1162210028	1	1	1	17.1162210028	17.1162210028
176	1	1	1	176	1	1	12494.7558764	12501.3833543	1	1	1	1	1	9.28532570523	1	1	1	9.28532570523	9.28532570523
177	1	1	1	177	1	1	12493.8525042	12507.7177493	1	1	1	1	1	11.465664188	1	1	1	11.465664188	11.465664188
178	1	1	1	178	1	1	12510.6499577	12490.2647769	1	1	1	1	1	11.4624169199	1	1	1	11.4624169199	11.4624169199
179	1	1	1	179	1	1	12502.5569715	12504.5441568	1	1	1	1	1	6.69367125351	1	1	1	6.69367125351	6.69367125351
180	1	1	1	180	1	1	12501.8478605	12501.2363573	1	1	1	1	1	5.3326227683	1	1	1	5.3326227683	5.3326227683
181	1	1	1	181	1	1	12490.7498268	12484.7677917	1	1	1	1	1	9.69201488836	1	1	1	9.69201488836	9.69201488836
182	1	1	1	182	1	1	12504.9878385	12498.4556	1	1	1	1	1	7.4715628876	1	1	1	7.4715628876	7.4715628876
183	1	1	1	183	1	1	12496.9730354	12485.5884668	1	1	1	1	1	14.8847295324	1	1	1	14.8847295324	14.8847295324
184	1	1	1	184	1	1	12506.1923961	12510.3819789	1	1	1	1	1	15.5959679187	1	1	1	15.5959679187	15.5959679187
185	1	1	1	185	1	1	12492.0476896	12513.5437107	1	1	1	1	1	9.33614891601	1	1	1	9.33614891601	9.33614891601
186	1	1	1	186	1	1	12516.9059188	12504.7027182	1	1	1	1	1	12.6854933249	1	1	1	12.6854933249	12.6854933249
187	1	1	1	187	1	1	12501.442842	12499.2745428	1	1	1	1	1	7.8960528085	1	1	1	7.8960528085	7.8960528085
188	1	1	1	188	1	1	12491.4700547	12495.549922	1	1	1	1	1	7.17224288558	1	1	1	7.17224288558	7.17224288558
189	1	1	1	189	1	1	12506.6153749	12497.9189965	1	1	1	1	1	8.55343713374	1	1	1	8.55343713374	8.55343713374
190	1	1	1	190	1	1	12497.9865431	12513.7477866	1	1	1	1	1	9.01384139346	1	1	1	9.01384139346	9.01384139346
191	1	1	1	191	1	1	12502.2038522	12493.3361546	1	1	1	1	1	6.43622437161	1	1	1	6.43622437161	6.43622437161
192	1	1	1	192	1	1	12509.9107623	12496.9309941	1	1	1	1	1	10.8162740019	1	1	1	10.8162740019	10.8162740019
193	1	1	1	193	1	1	12493.1783339	12499.0426117	1	1	1	1	1	7.27250113245	1	1	1	7.27250113245	7.27250113245
194	1	1	1	194	1	1	12497.4522238	12502.1169393	1	1	1	1	1	3.28329419774	1	1	1	3.28329419774	3.28329419774
195	1	1	1	195	1	1	12498.8114732	12504.8514886	1	1	1	1	1	10.0900668648	1	1	1	10.0900668648	10.0900668648
196	1	1	1	196	1	1	12490.5608692	12490.2233516	1	1	1	1	1	9.38455409608	1	1	1	9.38455409608	9.38455409608
197	1	1	1	197	1	1	12502.6317771	12510.152815	1	1	1	1	1	6.67182089833	1	1	1	6.67182089833	6.67182089833
198	1	1	1	198	1	1	12508.5378398	12487.9624048	1	1	1	1	1	7.87504708085	1	1	1	7.87504708085	7.87504708085
199	1	1	1	199	1	1	12495.0870068	12499.9016097	1	1	1	1	1	3.86721976245	1	1	1	3.86721976245	3.86721976245
200	1	1	1	200	1	1	12489.7251145	12497.5823837	1	1	1	1	1	8.58473509968	1	1	1	8.58473509968	8.58473509968
201	1	1	1	201	1	1	12484.2483451	12484.5514426	1	1	1	1	1	8.76774966149	1	1	1	8.76774966149	8.76774966149
202	1	1	1	202	1	1	12498.4565477	12495.5072851	1	1	1	1	1	9.07939604751	1	1	1	9.07939604751	9.07939604751
203	1	1	1	203	1	1	12482.7082531	12506.3491238	1	1	1	1	1	8.59630309119	1	1	1	8.59630309119	8.59630309119
204	1	1	1	204	1	1	12488.497568	12493.1355674	1	1	1	1	1	9.93306151476	1	1	1	9.93306151476	9.93306151476
205	1	1	1	205	1	1	12508.9229138	12526.0925943	1	1	1	1	1	16.8498908772	1	1	1	16.8498908772	16.8498908772
206	1	1	1	206	1	1	12498.7957173	12496.9770338	1	1	1	1	1	11.9467896667	1	1	1	11.9467896667	11.9467896667
